Aircraft,Door Width (in),Door Height (in),Cabin Length (in),Cabin Width (in),Cabin Height (in),Max Payload (lbs),Number of Seats,Removable Seats,Seat Weight (lbs),Seat Length (in),Seat Width (in),Seat Height (in)
King Air 90,28,51,149,54,58,3535,7,2,35,20,18,36
PC-12,24,53,202,60,58,2257,8,6,30,20,18,36
C404 (Titan),25,52,177,53,60,2765,8,2,20,20,18,36
CJ1,24,52,132,57,56,1350,7,0,40,22,20,38
C310,26,50,147,53,48,1736,6,2,20,20,18,36
Aerostar,28,45,154,46,47,2000,6,2,25,20,18,36
Caravan 208,50,49,153,63,52,2860,10,0,20,20,18,36
Seneca (PA-34),24,50,125,49,42,1380,6,0,15,18,16,34
C90 (King Air C90),28,51,149,54,58,3535,7,2,35,20,18,36
Falcon 10,36,60,155,60,58,1975,8,0,50,22,20,38
Cheyenne (PA-31T2),28,46,131,51,52,3800,8,2,25,20,18,36
AEST (Aerostar),28,45,154,46,47,2000,6,2,25,20,18,36
Piper Aerostar,28,45,154,46,47,2000,6,2,25,20,18,36
C404 Titan,25,52,177,53,60,2765,8,2,20,20,18,36
PA-31T (Chey. I),28,46,101,50,51.5,3840,6,1,28,20,18,36
BE58 (Baron 58),36,36,151,42,50,1464,6,2,15,20,18,36
Phenom 100,24,52,132,61,57,1312,6,0,30,20,18,36
Beechjet 400A,29,50,187,59,58,2085,11,0,50,22,20,38
Falcon 20,36,60,288,73,67,1700,11,0,60,22,20,38
C340,26,50,112,46.5,49,1848,6,2,20,20,18,36
DA-20 Katana,24,45,90,45,44,499,2,0,10,18,16,34
Learjet 35,36,50,155,59,52,3190,8,0,50,22,20,38
Cheyanne (PA-31T2),28,46,131,51,52,3800,8,2,25,20,18,36
King Air (350),27,51,230,54,58,2500,10,2,30,20,18,36
Navajo PA-31,24,43,131,50,51,2070,8,2,20,20,18,36
TBM,26,47,159,47,48,1443,6,2,20,20,18,36
PAY2 (Chey. II),28,46,131,50,52,3800,8,2,25,20,18,36
B200 (King Air 200),27,51,200,54,57,1850,8,2,30,20,18,36
C319,28,50,180,52,55,2000,8,0,30,20,18,36
B58 (Baron 58),36,36,151,42,50,1464,6,2,15,20,18,36
